"issue_url","current_parent_url","desired_parent_url","sprint","reason","changes_parent"
"https://github.com/digital-bank-java/.github/issues/26","","https://github.com/digital-bank-java/.github/issues/18","Sprint 0 - Platform Foundation and Local SIT","Historic epic belongs to its owning Sprint","true"
"https://github.com/digital-bank-java/config-server/issues/2","","https://github.com/digital-bank-java/.github/issues/18","Sprint 0 - Platform Foundation and Local SIT","Historic epic belongs to its owning Sprint","true"
"https://github.com/digital-bank-java/.github/issues/27","","https://github.com/digital-bank-java/.github/issues/18","Sprint 0 - Platform Foundation and Local SIT","Historic epic belongs to its owning Sprint","true"
"https://github.com/digital-bank-java/.github/issues/28","","https://github.com/digital-bank-java/.github/issues/22","Sprint 4 - Secure Customer Access and Step-Up Authorization","Historic epic belongs to its owning Sprint","true"
"https://github.com/digital-bank-java/.github/issues/29","","https://github.com/digital-bank-java/.github/issues/22","Sprint 4 - Secure Customer Access and Step-Up Authorization","Historic epic belongs to its owning Sprint","true"
"https://github.com/digital-bank-java/.github/issues/30","","https://github.com/digital-bank-java/.github/issues/21","Sprint 3 - Internal Transfers and Event Consistency","Historic epic belongs to its owning Sprint","true"
"https://github.com/digital-bank-java/.github/issues/31","","https://github.com/digital-bank-java/.github/issues/23","Sprint 5 - Payment Rails and Notifications","Historic epic belongs to its owning Sprint","true"
"https://github.com/digital-bank-java/.github/issues/32","","https://github.com/digital-bank-java/.github/issues/22","Sprint 4 - Secure Customer Access and Step-Up Authorization","Historic epic belongs to its owning Sprint","true"
"https://github.com/digital-bank-java/.github/issues/33","","https://github.com/digital-bank-java/.github/issues/18","Sprint 0 - Platform Foundation and Local SIT","Historic epic belongs to its owning Sprint","true"
"https://github.com/digital-bank-java/.github/issues/34","","https://github.com/digital-bank-java/.github/issues/24","Sprint 6 - Operational Resilience and Observability","Historic epic belongs to its owning Sprint","true"
"https://github.com/digital-bank-java/.github/issues/35","","https://github.com/digital-bank-java/.github/issues/18","Sprint 0 - Platform Foundation and Local SIT","Historic epic belongs to its owning Sprint","true"
"https://github.com/digital-bank-java/.github/issues/36","","https://github.com/digital-bank-java/.github/issues/18","Sprint 0 - Platform Foundation and Local SIT","Historic epic belongs to its owning Sprint","true"
"https://github.com/digital-bank-java/.github/issues/37","","https://github.com/digital-bank-java/.github/issues/25","Sprint 7 - AWS UAT and Production Readiness","Historic epic belongs to its owning Sprint","true"
"https://github.com/digital-bank-java/.github/issues/38","","https://github.com/digital-bank-java/.github/issues/26","Sprint 0 - Platform Foundation and Local SIT","Attach to matching same-Sprint historic epic","true"
"https://github.com/digital-bank-java/.github/issues/39","","https://github.com/digital-bank-java/.github/issues/26","Sprint 0 - Platform Foundation and Local SIT","Attach to matching same-Sprint historic epic","true"
"https://github.com/digital-bank-java/.github/issues/40","","https://github.com/digital-bank-java/.github/issues/37","Sprint 7 - AWS UAT and Production Readiness","Sprint 0 reconciliation: UAT and PROD endpoint replacement and validation belongs to Sprint 7","true"
"https://github.com/digital-bank-java/.github/issues/41","","https://github.com/digital-bank-java/.github/issues/26","Sprint 0 - Platform Foundation and Local SIT","Attach to matching same-Sprint historic epic","true"
"https://github.com/digital-bank-java/.github/issues/42","","https://github.com/digital-bank-java/config-server/issues/2","Sprint 0 - Platform Foundation and Local SIT","Attach to matching same-Sprint historic epic","true"
"https://github.com/digital-bank-java/.github/issues/43","","https://github.com/digital-bank-java/config-server/issues/2","Sprint 0 - Platform Foundation and Local SIT","Attach to matching same-Sprint historic epic","true"
"https://github.com/digital-bank-java/config-server/issues/3","https://github.com/digital-bank-java/config-server/issues/8","https://github.com/digital-bank-java/config-server/issues/8","Sprint 0 - Platform Foundation and Local SIT","Preserve same-Sprint relationship","false"
"https://github.com/digital-bank-java/config-server/issues/4","https://github.com/digital-bank-java/config-server/issues/8","https://github.com/digital-bank-java/config-server/issues/8","Sprint 0 - Platform Foundation and Local SIT","Preserve same-Sprint relationship","false"
"https://github.com/digital-bank-java/config-server/issues/5","https://github.com/digital-bank-java/config-server/issues/8","https://github.com/digital-bank-java/config-server/issues/8","Sprint 0 - Platform Foundation and Local SIT","Preserve same-Sprint relationship","false"
"https://github.com/digital-bank-java/.github/issues/44","","https://github.com/digital-bank-java/.github/issues/36","Sprint 0 - Platform Foundation and Local SIT","Attach to matching same-Sprint historic epic","true"
"https://github.com/digital-bank-java/.github/issues/45","","https://github.com/digital-bank-java/.github/issues/28","Sprint 4 - Secure Customer Access and Step-Up Authorization","Attach to matching same-Sprint historic epic","true"
"https://github.com/digital-bank-java/.github/issues/46","","https://github.com/digital-bank-java/.github/issues/28","Sprint 4 - Secure Customer Access and Step-Up Authorization","Attach to matching same-Sprint historic epic","true"
"https://github.com/digital-bank-java/.github/issues/47","","https://github.com/digital-bank-java/.github/issues/28","Sprint 4 - Secure Customer Access and Step-Up Authorization","Attach to matching same-Sprint historic epic","true"
